11|01|20180420084629|18912365893|\N|18934568213|\N|1|15|400000001|CHN01|500000003188531015|18C|400100001|101837|0|0|0|20180420091639|201804|81277869872730|0|0|0|0|0|0|851|201804|20180420
11|01|20180420084629|18912365893|\N|18934568213|\N|1|15|400000001|CHN01|500000003188531015|18C|400100001|101837|0|0|0|20180420091639|201804|81277869872730|0|0|0|0|0|0|851|201804|20180420
11|01|20180420132556|18912365895|460030912123301|18923265981|\N|1|17|400000003|CHN01|500000003188531035|18C|400100001|101839|0|0|0|20180420093226|201804|81277869872732|0|0|0|0|0|0|851|201804|20180420
11|01|20180420162538|18912365895|\N|18256272542|\N|1|18|400000004|CHN01|500000003188531057|18C|400100001|101840|0|0|0|20180420102635|201804|81277869872733|0|0|0|0|0|0|851|201804|20180420
11|01|20180420223659|18912365897|\N|18025388793|\N|1|0|400000005|CHN01|500000003188531062|18C|400100001|101841|0|0|0|20180420163521|201804|81277869872734|0|0|0|0|0|0|851|201804|20180420
12|02|20180420102637|18036587368|460030912126301|13185623175|\N|1|20|400000006|CHN01|500000003188531071|18C|400100001|101842|0|0|0|20180420193236|201804|81277869872735|0|0|0|0|0|0|851|201804|20180420
12|01|20180420152635|18036597509|460030912391001|18023965416|\N|1|21|400000007|CHN01|500000003188531055|18C|400100001|101843|0|0|0|20180420231654|201804|81277869872736|0|0|0|0|0|0|851|201804|20180420
11|01|20180420193325|18036587336|\N|13120336789|\N|1|22|400000008|CHN01|500000003188531019|18C|400100001|101844|0|0|0|20180420142534|201804|81277869872737|0|0|0|0|0|0|851|201804|20180420
11|02|20180420161239|18036585983|\N|13120402658|\N|1|23|400000009|CHN01|500000003188531091|18C|400100001|101845|0|0|0|20180420201316|201804|81277869872738|0|0|0|0|0|0|851|201804|20180420
12|02|20180420094258|18036521983|\N|15923987562|\N|1|24|400000010|CHN01|500000003188531695|18C|400100001|101846|0|0|0|20180420175259|201804|81277869872739|0|0|0|0|0|0|851|201804|20180420
